Date  ,Monthly Mean Total Sunspot Number,0
200611,35.7,0.72
200612,22.3,0.77
200701,29.3,0.96
200702,18.4,0.7
200703,7.2,0.7
200704,5.4,0.76
200705,19.5,0.67
200706,21.3,0.58
200707,15.1,0.62
200708,9.8,0.6
200709,4.0,0.64
200710,1.5,0.6
200711,2.8,0.57
200712,17.3,0.5
200801,4.1,0.24
200802,2.9,0.36
200803,15.5,0.73
200804,3.6,0.53
200805,4.6,0.51
200806,5.2,0.48
200807,0.6,0.6
200808,0.3,0.44
200809,1.2,0.65
200810,4.2,0.67
200811,6.6,0.66
200812,1.0,0.54
200901,1.3,0.62
200902,1.2,0.53
200903,0.6,0.53
200904,1.2,0.61
200905,2.9,0.65
200906,6.3,0.65
200907,5.5,0.72
200908,0.0,0.66
200909,7.1,0.7
200910,7.7,0.64
200911,6.9,0.77
200912,16.3,0.65
201001,19.5,0.73
201002,28.5,0.78
201003,24.0,0.92
201004,10.4,0.87
201005,13.9,0.75
201006,18.8,0.64
201007,25.2,0.62
201008,29.6,0.65
201009,36.4,0.61
201010,33.6,0.71
201011,34.4,0.79
201012,24.5,0.49
201101,27.3,0.51
201102,48.3,0.53
201103,78.6,0.64
201104,76.1,0.65
201105,58.2,0.53
201106,56.1,0.59
201107,64.5,0.73
201108,65.8,0.73
201109,120.1,0.56
201110,125.7,0.66
201111,139.1,0.56
201112,109.3,0.54
201201,94.4,0.46
201202,47.8,0.49
201203,86.6,0.58
201204,85.9,0.69
201205,96.5,0.76
201206,92.0,0.62
201207,100.1,0.57
201208,94.8,0.63
201209,93.7,0.76
201210,76.5,0.78
201211,87.6,0.75
201212,56.8,0.53
201301,96.1,0.68
201302,60.9,0.55
201303,78.3,0.66
201304,107.3,0.52
201305,120.2,0.61
201306,76.7,0.65
201307,86.2,0.59
201308,91.8,0.66
201309,54.5,0.78
201310,114.4,0.69
201311,113.9,0.81
201312,124.2,0.67
201401,117.0,0.73
201402,146.1,0.51
201403,128.7,0.77
201404,112.5,0.78
201405,112.5,0.87
201406,102.9,0.66
201407,100.2,0.57
201408,106.9,0.82
201409,130.0,0.9
201410,90.0,0.85
201411,103.6,0.67
201412,112.9,0.79
201501,93.0,0.81
201502,66.7,0.86
201503,54.5,0.9
201504,75.3,0.74
201505,88.8,0.78
201506,66.5,0.78
201507,65.8,0.71
201508,64.4,0.78
201509,78.6,0.81
201510,63.6,1.06
201511,62.2,1.04
201512,58.0,1.11
201601,57.0,1.17
201602,56.4,1.35
201603,54.1,1.3
201604,37.9,1.09
201605,51.5,0.93
201606,20.5,0.76
201607,32.4,0.83
201608,50.2,0.98
201609,44.6,0.87
201610,33.4,0.89
201611,21.4,0.93
201612,18.5,0.81
